img_path,mask_path,img_w,img_h,n_boxes
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00381.jpg,D:\Claude\datasets\ppe_masks\00381_mask.png,300,436,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00382.jpg,D:\Claude\datasets\ppe_masks\00382_mask.png,449,300,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00383.jpg,D:\Claude\datasets\ppe_masks\00383_mask.png,302,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00384.jpg,D:\Claude\datasets\ppe_masks\00384_mask.png,356,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00385.jpg,D:\Claude\datasets\ppe_masks\00385_mask.png,601,400,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00386.jpg,D:\Claude\datasets\ppe_masks\00386_mask.png,400,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00387.jpg,D:\Claude\datasets\ppe_masks\00387_mask.png,599,400,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00388.jpg,D:\Claude\datasets\ppe_masks\00388_mask.png,413,400,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00389.jpg,D:\Claude\datasets\ppe_masks\00389_mask.png,300,405,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00390.jpg,D:\Claude\datasets\ppe_masks\00390_mask.png,349,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00391.jpg,D:\Claude\datasets\ppe_masks\00391_mask.png,400,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00392.jpg,D:\Claude\datasets\ppe_masks\00392_mask.png,300,479,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00393.jpg,D:\Claude\datasets\ppe_masks\00393_mask.png,802,600,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00394.jpg,D:\Claude\datasets\ppe_masks\00394_mask.png,300,443,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00395.jpg,D:\Claude\datasets\ppe_masks\00395_mask.png,300,410,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00396.jpg,D:\Claude\datasets\ppe_masks\00396_mask.png,300,451,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00397.jpg,D:\Claude\datasets\ppe_masks\00397_mask.png,400,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00398.jpg,D:\Claude\datasets\ppe_masks\00398_mask.png,379,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00399.jpg,D:\Claude\datasets\ppe_masks\00399_mask.png,300,384,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00400.jpg,D:\Claude\datasets\ppe_masks\00400_mask.png,200,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00401.jpg,D:\Claude\datasets\ppe_masks\00401_mask.png,300,400,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00402.jpg,D:\Claude\datasets\ppe_masks\00402_mask.png,488,400,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00403.jpg,D:\Claude\datasets\ppe_masks\00403_mask.png,300,451,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00404.jpg,D:\Claude\datasets\ppe_masks\00404_mask.png,497,300,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00405.jpg,D:\Claude\datasets\ppe_masks\00405_mask.png,451,300,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00406.jpg,D:\Claude\datasets\ppe_masks\00406_mask.png,200,283,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00407.jpg,D:\Claude\datasets\ppe_masks\00407_mask.png,425,300,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00408.jpg,D:\Claude\datasets\ppe_masks\00408_mask.png,440,300,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00409.jpg,D:\Claude\datasets\ppe_masks\00409_mask.png,300,400,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00410.jpg,D:\Claude\datasets\ppe_masks\00410_mask.png,300,451,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00411.jpg,D:\Claude\datasets\ppe_masks\00411_mask.png,451,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00412.jpg,D:\Claude\datasets\ppe_masks\00412_mask.png,800,600,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00413.jpg,D:\Claude\datasets\ppe_masks\00413_mask.png,451,300,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00414.jpg,D:\Claude\datasets\ppe_masks\00414_mask.png,300,447,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00415.jpg,D:\Claude\datasets\ppe_masks\00415_mask.png,376,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00416.jpg,D:\Claude\datasets\ppe_masks\00416_mask.png,410,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00417.jpg,D:\Claude\datasets\ppe_masks\00417_mask.png,451,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00418.jpg,D:\Claude\datasets\ppe_masks\00418_mask.png,200,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00419.jpg,D:\Claude\datasets\ppe_masks\00419_mask.png,686,500,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00420.jpg,D:\Claude\datasets\ppe_masks\00420_mask.png,200,393,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00421.jpg,D:\Claude\datasets\ppe_masks\00421_mask.png,534,400,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00422.jpg,D:\Claude\datasets\ppe_masks\00422_mask.png,200,466,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00423.jpg,D:\Claude\datasets\ppe_masks\00423_mask.png,400,522,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00424.jpg,D:\Claude\datasets\ppe_masks\00424_mask.png,300,435,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00425.jpg,D:\Claude\datasets\ppe_masks\00425_mask.png,300,452,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00426.jpg,D:\Claude\datasets\ppe_masks\00426_mask.png,602,400,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00427.jpg,D:\Claude\datasets\ppe_masks\00427_mask.png,451,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00428.jpg,D:\Claude\datasets\ppe_masks\00428_mask.png,268,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00429.jpg,D:\Claude\datasets\ppe_masks\00429_mask.png,300,433,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00430.jpg,D:\Claude\datasets\ppe_masks\00430_mask.png,598,400,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00431.jpg,D:\Claude\datasets\ppe_masks\00431_mask.png,400,552,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00432.jpg,D:\Claude\datasets\ppe_masks\00432_mask.png,300,451,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00433.jpg,D:\Claude\datasets\ppe_masks\00433_mask.png,400,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00434.jpg,D:\Claude\datasets\ppe_masks\00434_mask.png,442,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00435.jpg,D:\Claude\datasets\ppe_masks\00435_mask.png,300,451,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00436.jpg,D:\Claude\datasets\ppe_masks\00436_mask.png,534,400,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00437.jpg,D:\Claude\datasets\ppe_masks\00437_mask.png,300,451,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00438.jpg,D:\Claude\datasets\ppe_masks\00438_mask.png,469,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00439.jpg,D:\Claude\datasets\ppe_masks\00439_mask.png,300,426,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00440.jpg,D:\Claude\datasets\ppe_masks\00440_mask.png,400,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00441.jpg,D:\Claude\datasets\ppe_masks\00441_mask.png,600,650,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00442.jpg,D:\Claude\datasets\ppe_masks\00442_mask.png,336,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00443.jpg,D:\Claude\datasets\ppe_masks\00443_mask.png,600,894,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00444.jpg,D:\Claude\datasets\ppe_masks\00444_mask.png,300,450,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00445.jpg,D:\Claude\datasets\ppe_masks\00445_mask.png,300,400,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00446.jpg,D:\Claude\datasets\ppe_masks\00446_mask.png,451,300,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00447.jpg,D:\Claude\datasets\ppe_masks\00447_mask.png,835,600,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00448.jpg,D:\Claude\datasets\ppe_masks\00448_mask.png,300,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00449.jpg,D:\Claude\datasets\ppe_masks\00449_mask.png,300,451,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00450.jpg,D:\Claude\datasets\ppe_masks\00450_mask.png,400,444,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00451.jpg,D:\Claude\datasets\ppe_masks\00451_mask.png,300,390,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00452.jpg,D:\Claude\datasets\ppe_masks\00452_mask.png,300,438,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00453.jpg,D:\Claude\datasets\ppe_masks\00453_mask.png,600,400,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00454.jpg,D:\Claude\datasets\ppe_masks\00454_mask.png,300,448,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00455.jpg,D:\Claude\datasets\ppe_masks\00455_mask.png,451,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00456.jpg,D:\Claude\datasets\ppe_masks\00456_mask.png,400,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00457.jpg,D:\Claude\datasets\ppe_masks\00457_mask.png,535,400,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00458.jpg,D:\Claude\datasets\ppe_masks\00458_mask.png,800,600,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00459.jpg,D:\Claude\datasets\ppe_masks\00459_mask.png,300,402,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00460.jpg,D:\Claude\datasets\ppe_masks\00460_mask.png,451,300,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00461.jpg,D:\Claude\datasets\ppe_masks\00461_mask.png,451,300,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00462.jpg,D:\Claude\datasets\ppe_masks\00462_mask.png,451,400,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00463.jpg,D:\Claude\datasets\ppe_masks\00463_mask.png,500,751,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00464.jpg,D:\Claude\datasets\ppe_masks\00464_mask.png,500,760,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00465.jpg,D:\Claude\datasets\ppe_masks\00465_mask.png,300,451,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00466.jpg,D:\Claude\datasets\ppe_masks\00466_mask.png,448,300,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00467.jpg,D:\Claude\datasets\ppe_masks\00467_mask.png,600,801,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00468.jpg,D:\Claude\datasets\ppe_masks\00468_mask.png,536,400,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00469.jpg,D:\Claude\datasets\ppe_masks\00469_mask.png,600,400,7
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00470.jpg,D:\Claude\datasets\ppe_masks\00470_mask.png,348,300,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00471.jpg,D:\Claude\datasets\ppe_masks\00471_mask.png,424,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00472.jpg,D:\Claude\datasets\ppe_masks\00472_mask.png,600,400,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00473.jpg,D:\Claude\datasets\ppe_masks\00473_mask.png,400,404,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00474.jpg,D:\Claude\datasets\ppe_masks\00474_mask.png,482,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00475.jpg,D:\Claude\datasets\ppe_masks\00475_mask.png,300,421,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00476.jpg,D:\Claude\datasets\ppe_masks\00476_mask.png,400,300,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00477.jpg,D:\Claude\datasets\ppe_masks\00477_mask.png,300,461,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00478.jpg,D:\Claude\datasets\ppe_masks\00478_mask.png,451,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00479.jpg,D:\Claude\datasets\ppe_masks\00479_mask.png,300,200,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00480.jpg,D:\Claude\datasets\ppe_masks\00480_mask.png,300,450,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00481.jpg,D:\Claude\datasets\ppe_masks\00481_mask.png,200,290,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00482.jpg,D:\Claude\datasets\ppe_masks\00482_mask.png,300,451,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00483.jpg,D:\Claude\datasets\ppe_masks\00483_mask.png,280,200,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00484.jpg,D:\Claude\datasets\ppe_masks\00484_mask.png,420,300,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00485.jpg,D:\Claude\datasets\ppe_masks\00485_mask.png,600,400,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00486.jpg,D:\Claude\datasets\ppe_masks\00486_mask.png,300,451,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00487.jpg,D:\Claude\datasets\ppe_masks\00487_mask.png,400,300,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00488.jpg,D:\Claude\datasets\ppe_masks\00488_mask.png,300,400,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00489.jpg,D:\Claude\datasets\ppe_masks\00489_mask.png,451,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00490.jpg,D:\Claude\datasets\ppe_masks\00490_mask.png,300,451,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00491.jpg,D:\Claude\datasets\ppe_masks\00491_mask.png,300,500,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00492.jpg,D:\Claude\datasets\ppe_masks\00492_mask.png,451,300,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00493.jpg,D:\Claude\datasets\ppe_masks\00493_mask.png,448,300,5
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00494.jpg,D:\Claude\datasets\ppe_masks\00494_mask.png,306,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00495.jpg,D:\Claude\datasets\ppe_masks\00495_mask.png,493,400,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00496.jpg,D:\Claude\datasets\ppe_masks\00496_mask.png,440,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00497.jpg,D:\Claude\datasets\ppe_masks\00497_mask.png,400,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00498.jpg,D:\Claude\datasets\ppe_masks\00498_mask.png,300,424,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00499.jpg,D:\Claude\datasets\ppe_masks\00499_mask.png,300,451,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00500.jpg,D:\Claude\datasets\ppe_masks\00500_mask.png,300,565,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00501.jpg,D:\Claude\datasets\ppe_masks\00501_mask.png,300,331,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00502.jpg,D:\Claude\datasets\ppe_masks\00502_mask.png,200,320,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00503.jpg,D:\Claude\datasets\ppe_masks\00503_mask.png,400,471,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00504.jpg,D:\Claude\datasets\ppe_masks\00504_mask.png,422,400,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00505.jpg,D:\Claude\datasets\ppe_masks\00505_mask.png,200,318,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00506.jpg,D:\Claude\datasets\ppe_masks\00506_mask.png,451,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00507.jpg,D:\Claude\datasets\ppe_masks\00507_mask.png,497,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00508.jpg,D:\Claude\datasets\ppe_masks\00508_mask.png,419,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00509.jpg,D:\Claude\datasets\ppe_masks\00509_mask.png,595,400,9
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00510.jpg,D:\Claude\datasets\ppe_masks\00510_mask.png,448,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00511.jpg,D:\Claude\datasets\ppe_masks\00511_mask.png,452,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00512.jpg,D:\Claude\datasets\ppe_masks\00512_mask.png,346,201,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00513.jpg,D:\Claude\datasets\ppe_masks\00513_mask.png,451,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00514.jpg,D:\Claude\datasets\ppe_masks\00514_mask.png,400,450,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00515.jpg,D:\Claude\datasets\ppe_masks\00515_mask.png,300,451,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00516.jpg,D:\Claude\datasets\ppe_masks\00516_mask.png,383,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00517.jpg,D:\Claude\datasets\ppe_masks\00517_mask.png,400,300,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00518.jpg,D:\Claude\datasets\ppe_masks\00518_mask.png,400,300,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00519.jpg,D:\Claude\datasets\ppe_masks\00519_mask.png,300,376,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00520.jpg,D:\Claude\datasets\ppe_masks\00520_mask.png,451,300,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00521.jpg,D:\Claude\datasets\ppe_masks\00521_mask.png,400,960,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00522.jpg,D:\Claude\datasets\ppe_masks\00522_mask.png,300,352,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00523.jpg,D:\Claude\datasets\ppe_masks\00523_mask.png,400,417,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00524.jpg,D:\Claude\datasets\ppe_masks\00524_mask.png,302,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00525.jpg,D:\Claude\datasets\ppe_masks\00525_mask.png,200,270,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00526.jpg,D:\Claude\datasets\ppe_masks\00526_mask.png,200,239,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00527.jpg,D:\Claude\datasets\ppe_masks\00527_mask.png,300,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00528.jpg,D:\Claude\datasets\ppe_masks\00528_mask.png,267,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00529.jpg,D:\Claude\datasets\ppe_masks\00529_mask.png,200,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00530.jpg,D:\Claude\datasets\ppe_masks\00530_mask.png,235,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00531.jpg,D:\Claude\datasets\ppe_masks\00531_mask.png,223,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00532.jpg,D:\Claude\datasets\ppe_masks\00532_mask.png,200,232,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00533.jpg,D:\Claude\datasets\ppe_masks\00533_mask.png,301,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00534.jpg,D:\Claude\datasets\ppe_masks\00534_mask.png,200,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00535.jpg,D:\Claude\datasets\ppe_masks\00535_mask.png,268,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00536.jpg,D:\Claude\datasets\ppe_masks\00536_mask.png,200,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00537.jpg,D:\Claude\datasets\ppe_masks\00537_mask.png,209,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00538.jpg,D:\Claude\datasets\ppe_masks\00538_mask.png,251,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00539.jpg,D:\Claude\datasets\ppe_masks\00539_mask.png,310,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00540.jpg,D:\Claude\datasets\ppe_masks\00540_mask.png,331,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00541.jpg,D:\Claude\datasets\ppe_masks\00541_mask.png,200,207,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00542.jpg,D:\Claude\datasets\ppe_masks\00542_mask.png,274,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00543.jpg,D:\Claude\datasets\ppe_masks\00543_mask.png,209,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00544.jpg,D:\Claude\datasets\ppe_masks\00544_mask.png,200,229,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00545.jpg,D:\Claude\datasets\ppe_masks\00545_mask.png,200,267,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00546.jpg,D:\Claude\datasets\ppe_masks\00546_mask.png,205,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00547.jpg,D:\Claude\datasets\ppe_masks\00547_mask.png,300,451,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00548.jpg,D:\Claude\datasets\ppe_masks\00548_mask.png,200,231,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00549.jpg,D:\Claude\datasets\ppe_masks\00549_mask.png,200,268,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00550.jpg,D:\Claude\datasets\ppe_masks\00550_mask.png,267,200,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00551.jpg,D:\Claude\datasets\ppe_masks\00551_mask.png,258,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00552.jpg,D:\Claude\datasets\ppe_masks\00552_mask.png,235,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00553.jpg,D:\Claude\datasets\ppe_masks\00553_mask.png,279,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00554.jpg,D:\Claude\datasets\ppe_masks\00554_mask.png,224,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00555.jpg,D:\Claude\datasets\ppe_masks\00555_mask.png,506,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00556.jpg,D:\Claude\datasets\ppe_masks\00556_mask.png,320,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00557.jpg,D:\Claude\datasets\ppe_masks\00557_mask.png,302,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00558.jpg,D:\Claude\datasets\ppe_masks\00558_mask.png,200,230,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00559.jpg,D:\Claude\datasets\ppe_masks\00559_mask.png,218,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00560.jpg,D:\Claude\datasets\ppe_masks\00560_mask.png,208,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00561.jpg,D:\Claude\datasets\ppe_masks\00561_mask.png,300,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00562.jpg,D:\Claude\datasets\ppe_masks\00562_mask.png,355,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00563.jpg,D:\Claude\datasets\ppe_masks\00563_mask.png,249,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00564.jpg,D:\Claude\datasets\ppe_masks\00564_mask.png,320,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00565.jpg,D:\Claude\datasets\ppe_masks\00565_mask.png,209,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00566.jpg,D:\Claude\datasets\ppe_masks\00566_mask.png,200,215,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00567.jpg,D:\Claude\datasets\ppe_masks\00567_mask.png,207,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00568.jpg,D:\Claude\datasets\ppe_masks\00568_mask.png,282,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00569.jpg,D:\Claude\datasets\ppe_masks\00569_mask.png,200,267,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00570.jpg,D:\Claude\datasets\ppe_masks\00570_mask.png,200,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00571.jpg,D:\Claude\datasets\ppe_masks\00571_mask.png,200,202,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00572.jpg,D:\Claude\datasets\ppe_masks\00572_mask.png,200,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00573.jpg,D:\Claude\datasets\ppe_masks\00573_mask.png,200,233,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00574.jpg,D:\Claude\datasets\ppe_masks\00574_mask.png,200,253,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00575.jpg,D:\Claude\datasets\ppe_masks\00575_mask.png,206,200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00576.jpg,D:\Claude\datasets\ppe_masks\00576_mask.png,200,300,1
